segment,anomaly,Signal_Health,train,channel,sampling,duration,Duration_Category,len,mean,var,Variance_Level,std,kurtosis,skew,n_peaks,Engineering_Priority,Peak_Complexity,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len
1151,0,Healthy,1,CADC0894,5,240,Medium,49,0.3552066020408164,0.20774077118826387,High,0.4557858830506534,-0.8541982618280426,0.8631890190109527,1,Medium,Simple,1,1,1,2,0.005891989745722917,4.113452806046805E-4,1200,245,8.655865466177661E-4,0.004239607575270692
1152,1,Anomalous,1,CADC0894,5,320,Medium,65,0.4541684613846155,0.18814801295794872,High,0.433760317408069,-1.8588134788229727,0.12544131918860943,1,High,Simple,1,1,2,3,0.004227640046865483,8.685887829187478E-4,1600,325,5.879625404935898E-4,0.0028945848147376727
1153,0,Healthy,1,CADC0894,5,215,Medium,44,0.2549064340909091,0.11440387025022543,High,0.3382364117747015,-1.0007254736784716,0.8309298439342435,1,Medium,Simple,1,1,1,3,0.004800033108907442,0.0015800153461633332,1075,220,5.321110244196532E-4,0.0026000879602323963
1154,0,Healthy,1,CADC0894,5,200,Medium,41,0.2548970243902439,0.1185440856234384,High,0.3443023171915031,-0.9034945841171012,0.8771982713353376,1,Medium,Simple,1,1,1,3,0.005785797702799999,0.0018248263028717954,1000,205,5.92720428117192E-4,0.002891319161547278
1155,0,Healthy,1,CADC0894,5,215,Medium,44,0.2284386968181818,0.10695601440294343,High,0.3270413038179481,-0.5748468141665657,1.0369154501297901,1,Medium,Simple,1,1,1,2,0.004638146519319107,5.597730334061142E-4,1075,220,4.97469834432295E-4,0.0024308185091578053
1156,0,Healthy,0,CADC0894,5,205,Medium,42,0.2322993407142857,0.1009791093715229,High,0.31777210288432006,-0.8117921945419551,0.9270579210440055,1,Medium,Simple,1,1,1,4,0.004499012628888591,7.217096227664146E-4,1025,210,4.925810213245019E-4,0.0024042645088457834
1157,0,Healthy,1,CADC0894,5,200,Medium,41,0.24516166585365856,0.09889387730880808,High,0.3144739692070046,-1.0254237235266463,0.8114717890239227,1,Medium,Simple,1,1,1,7,0.004057129256264,4.595145258825638E-4,1000,205,4.944693865440404E-4,0.002412045788019709
1158,0,Healthy,0,CADC0894,5,225,Medium,46,0.22882569043478262,0.10149080322929911,High,0.3185762125917425,-0.7082596695592289,0.9794201520761318,1,Medium,Simple,1,1,1,4,0.003842851424523769,4.2972797463192744E-4,1125,230,4.510702365746627E-4,0.0022063218093325895
1159,0,Healthy,1,CADC0894,5,190,Medium,39,0.2679335046153846,0.11301023258119464,High,0.33616994598148514,-1.0139278964001828,0.7942815975456751,1,Medium,Simple,1,1,1,2,0.0048948412387180215,5.223711864360648E-4,950,195,5.947906977957613E-4,0.002897698271312683
1160,0,Healthy,1,CADC0894,5,230,Medium,47,0.22560871382978723,0.10321199214462508,High,0.32126623249981484,-0.5497859235054348,1.0480229763794517,1,Medium,Simple,1,1,1,3,0.004159504368214206,8.79458188604515E-4,1150,235,4.487477919331525E-4,0.0021959998328643635
1161,0,Healthy,1,CADC0894,5,195,Medium,40,0.277833734,0.10507963427059819,High,0.32415988997807577,-1.1073730104424737,0.7372257293475085,1,Medium,Simple,1,1,1,2,0.004408259572799181,7.222614205399574E-4,975,200,5.388699193364009E-4,0.0026269908567649546
1162,0,Healthy,1,CADC0894,5,235,Medium,48,0.248648635,0.09421227765217692,High,0.30694018578898546,-0.7806617544978467,0.9472117394284161,1,Medium,Simple,1,1,2,3,0.003908079744646402,0.0017763310852918646,1175,240,4.0090330915819967E-4,0.0019627557844203525
1163,1,Anomalous,1,CADC0894,5,225,Medium,23,0.058783464347826095,0.001704761871923616,Low,0.04128876205365833,-1.6764280106539433,-0.040463318862518596,1,High,Simple,1,1,1,1,4.021197422514784E-4,7.213289377808125E-4,14925,115,7.576719430771626E-6,7.41200813879833E-5
1164,0,Healthy,1,CADC0894,5,200,Medium,41,0.31974430219512195,0.10361715653166484,High,0.32189618906048706,-1.0251352502263444,0.7498698733713326,1,Medium,Simple,1,1,1,5,0.004665245776805228,9.048363396295117E-4,1000,205,5.180857826583242E-4,0.002527247720284508
1165,0,Healthy,1,CADC0894,5,210,Medium,43,0.3079936972093023,0.10536909085321568,High,0.3246060548622217,-0.8120965278186154,0.8630135212754183,1,Medium,Simple,1,1,1,5,0.0042580390822353,4.661691516158634E-4,1050,215,5.017575754915032E-4,0.002450443973330597
1166,0,Healthy,0,CADC0894,5,200,Medium,41,0.28719952146341465,0.09787049378571284,High,0.3128426022550523,-0.9961783333108709,0.7795692445404092,1,Medium,Simple,1,1,1,5,0.0039645049034948135,4.652601511762351E-4,1000,205,4.893524689285642E-4,0.002387085214285679
1167,0,Healthy,1,CADC0894,5,230,Medium,47,0.2233631938297872,0.08028449174675296,High,0.2833451812661598,-0.6215524200700342,1.01623499573158,1,Medium,Simple,1,1,1,5,0.003033864554384625,3.333730623725912E-4,1150,235,3.490630075945781E-4,0.001708180675462829
1168,0,Healthy,0,CADC0894,5,215,Medium,44,0.2136711827272727,0.07713572697923424,High,0.2777331938736064,-0.8100082080738122,0.9268728301841808,1,Medium,Simple,1,1,1,7,0.0030068108866081137,3.5514820250210087E-4,1075,220,3.58770823159229E-4,0.0017530847040735055
1169,0,Healthy,1,CADC0894,5,235,Medium,48,0.17388051812500002,0.06619709452288798,High,0.25728796031467926,-0.4484799828174677,1.1078817109846746,1,Medium,Simple,1,1,1,5,0.002612910971458217,3.1878250013719564E-4,1175,240,2.816897639271829E-4,0.0013791061358934995
1170,0,Healthy,0,CADC0894,5,205,Medium,42,0.19196836857142857,0.0706265728759042,High,0.265756604576263,-0.8052094659750324,0.9385077793737404,1,Medium,Simple,1,1,1,3,0.0033493574799249954,8.765826126163603E-4,1025,210,3.4451986768733756E-4,0.0016815850684739095
1171,0,Healthy,1,CADC0873,5,775,Long,156,-1.4977944224358971E-5,2.7684092701316905E-10,Low,1.663853740606935E-5,-1.451591239317861,0.17050193941256556,1,Medium,Simple,1,1,40,48,6.85480128946394E-13,6.628469553734424E-13,3875,780,3.5721409937183104E-13,1.774621327007494E-12
1172,0,Healthy,1,CADC0873,5,525,Long,106,4.837359070754717E-6,2.2151384129042402E-10,Low,1.4883341066118993E-5,-1.472772931547792,0.21421867443098117,1,Medium,Simple,1,1,29,33,1.0758399315159706E-12,8.30480999260085E-13,2625,530,4.2193112626747435E-13,2.0897532197209813E-12
1173,0,Healthy,1,CADC0873,5,495,Long,100,4.28058668E-6,4.66443042078764E-10,Low,2.1597292471019696E-5,-1.407867945843621,0.14764678881569485,1,Medium,Simple,1,1,20,34,2.186677572844977E-12,7.91717729876564E-13,2475,500,9.42309175916695E-13,4.66443042078764E-12
1174,0,Healthy,1,CADC0873,5,525,Long,106,-5.220210990566038E-6,5.530914399005239E-10,Low,2.3517896162295724E-5,-1.3949687298837923,0.18284929887908294,1,Medium,Simple,1,1,19,33,2.1971856884172453E-12,7.404402572533508E-13,2625,530,1.0535075045724264E-12,5.2178437726464515E-12
1175,0,Healthy,1,CADC0873,5,620,Long,125,-1.3272363110399998E-5,3.728525672238841E-10,Low,1.9309390648694332E-5,-1.3785802705507588,0.24497549592625842,1,Medium,Simple,1,1,29,40,1.1819689723830878E-12,6.24833336707645E-13,3100,625,6.013751084256195E-13,2.9828205377910726E-12
1176,0,Healthy,0,CADC0873,5,515,Long,104,2.6676479711538464E-5,2.1459011552317974E-10,Low,1.4648894686056683E-5,-1.16718388400274,-0.21316024876158535,1,Medium,Simple,1,1,25,30,8.261627297785086E-13,7.120211177682811E-13,2575,520,4.166798359673393E-13,2.06336649541519E-12
1177,0,Healthy,0,CADC0873,5,505,Long,102,2.5871992450980396E-5,9.97434205182773E-11,Low,9.987162786210972E-6,-1.179389956539014,-0.20527819263107644,1,Medium,Simple,1,1,27,34,4.81455229862151E-13,5.305745306217906E-13,2525,510,1.975117237985689E-13,9.778766717478166E-13
1178,0,Healthy,1,CADC0873,5,670,Long,135,1.4095842966148148E-5,1.402933053179783E-10,Low,1.1844547493170785E-5,-0.9646031500191876,-0.4542929625355592,1,Medium,Simple,1,1,42,46,4.2070098799436676E-13,6.643559862827435E-13,3350,675,2.0939299301190793E-13,1.0392096690220616E-12
1179,0,Healthy,1,CADC0873,5,615,Long,124,7.808766379032256E-6,2.4385858035148306E-10,Low,1.5615971963073034E-5,-1.4291123166956614,0.2537273358961037,1,Medium,Simple,1,1,35,42,8.878429920555893E-13,7.415288075329442E-13,3075,620,3.965180168316798E-13,1.966601454447444E-12
1180,0,Healthy,1,CADC0873,5,600,Long,121,8.891236694214877E-7,3.671454840758428E-10,Low,1.9161040787907186E-5,-1.4362106492130058,0.12703395496915643,1,Medium,Simple,1,1,36,40,1.257607015610022E-12,7.16262241097676E-13,3000,605,6.119091401264047E-13,3.0342601989739076E-12
1181,0,Healthy,1,CADC0873,5,530,Long,107,4.377031121495327E-6,8.021137809115049E-10,Low,2.8321613317597303E-5,-1.3362806432018086,0.056105922350603715,1,Medium,Simple,1,1,19,33,2.6644375178947186E-12,7.721233946957461E-13,2650,535,1.5134222281349149E-12,7.496390475808457E-12
1182,0,Healthy,0,CADC0873,5,615,Long,124,-1.4806638927419354E-5,2.953053027349731E-10,Low,1.718444944520985E-5,-1.375998854666451,0.021566301722102176,1,Medium,Simple,1,1,37,39,9.418430707650771E-13,7.757546437580771E-13,3075,620,4.801712239593059E-13,2.3814943768949442E-12
1183,1,Anomalous,0,CADC0873,5,484,Long,73,-3.483687068493151E-6,4.1366680665369624E-10,Low,2.0338800521508054E-5,-1.1187194084150298,-0.35383412503137524,2,High,Moderate,1,1,1,6,1.7154743485767584E-11,3.158558577629212E-11,17928,365,8.546834848216865E-13,5.666668584297209E-12
1184,0,Healthy,0,CADC0873,5,432,Long,87,-1.7754537586206897E-5,5.593950657638383E-11,Low,7.479271794525442E-6,-0.33414814876163623,-0.7107633780122471,1,Medium,Simple,1,1,25,29,5.486589178550567E-13,8.011322910038748E-13,2200,435,1.2948959855644405E-13,6.429828342113084E-13
1185,0,Healthy,1,CADC0873,5,465,Long,94,-2.0737527929787236E-5,2.76611990319224E-10,Low,1.663165627107607E-5,-1.2724178438826792,-0.12861520971772125,1,Medium,Simple,1,1,24,29,1.3669049355970417E-12,9.041786087455827E-13,2361,470,5.948644953101592E-13,2.9426807480768513E-12
1186,1,Anomalous,1,CADC0873,5,835,Long,160,5.522882461687501E-7,4.16842960146881E-10,Low,2.04167323572329E-5,-1.023088408250943,0.3349471162028714,2,High,Moderate,2,1,2,3,4.9266617053563635E-11,1.431265498473457E-10,5975,800,4.992131259244084E-13,2.6052685009180063E-12
1187,0,Healthy,1,CADC0873,5,500,Long,101,1.353925053960396E-5,1.9618387881041745E-10,Low,1.4006565560851006E-5,-1.3967328680885132,0.00471074584277551,1,Medium,Simple,1,1,28,33,9.174530776807254E-13,6.58101091202029E-13,2500,505,3.923677576208349E-13,1.9424146416873016E-12
1188,0,Healthy,1,CADC0873,5,725,Long,146,-1.0065025890410942E-7,4.714716522416362E-10,Low,2.1713397989297673E-5,-1.1615266081080389,-0.23118944415710735,1,Medium,Simple,1,1,35,48,7.599421524277867E-13,4.347119621277438E-13,3625,730,6.503057272298431E-13,3.2292578920660017E-12
1189,1,Anomalous,0,CADC0873,5,870,Long,175,1.7082065914285715E-5,9.821752556425152E-11,Low,9.910475546826777E-6,-0.5491065799633299,-0.4288631144022721,19,High,Complex,5,2,20,21,6.582765186853374E-11,1.9545278953215688E-10,4350,875,1.1289370754511669E-13,5.612430032242944E-13
1190,0,Healthy,0,CADC0873,5,460,Long,93,-1.0013619688172044E-6,9.423433992441678E-10,Low,3.069761227268609E-5,-1.471300480643183,0.11102179333415992,1,Medium,Simple,1,1,6,9,5.461243886769675E-12,3.3757103623635735E-12,2300,465,2.0485726070525386E-12,1.0132724723055568E-11
1191,0,Healthy,1,CADC0873,5,400,Long,81,-7.543322086419753E-6,6.934569419526643E-10,Low,2.633357062672406E-5,-1.4654707828333877,0.08264589258030197,1,Medium,Simple,1,1,15,26,4.367555060005213E-12,8.348994786904215E-13,2000,405,1.7336423548816607E-12,8.561196814230423E-12
1192,1,Anomalous,1,CADC0873,5,456,Long,92,-2.436841717391304E-6,3.2484744647154817E-10,Low,1.802352480708333E-5,-0.7937499091808826,0.014837130813801624,1,High,Simple,1,1,4,12,4.817813928108371E-12,3.5959111826264696E-12,2286,460,7.123847510340969E-13,3.5309505051255236E-12
1193,0,Healthy,1,CADC0873,5,310,Medium,63,3.6311094920634927E-6,5.816882978982864E-10,Low,2.4118215064516826E-5,-1.4067721665600754,0.03416980317026528,1,Low,Simple,1,1,10,20,6.411670268271057E-12,1.219976960654056E-12,1550,315,1.8764138641880207E-12,9.233147585687087E-12
1194,0,Healthy,0,CADC0873,5,285,Medium,58,-1.943617735172414E-6,4.16769327232272E-10,Low,2.0414929028342762E-5,-1.4636675726816089,-0.05058119297953429,1,Low,Simple,1,1,5,16,5.195671324103369E-12,5.003933031902537E-13,1425,290,1.462348516604463E-12,7.185678055728827E-12
1195,0,Healthy,1,CADC0873,5,266,Medium,54,1.2352353148148144E-6,2.2306566808076244E-10,Low,1.4935383091195299E-5,-1.3529593307072183,-0.059405447541364134,1,Low,Simple,1,1,10,18,3.227871339440499E-12,7.272729250410149E-13,1336,270,8.385927371457235E-13,4.130845705199304E-12
1196,0,Healthy,1,CADC0873,5,281,Medium,57,-6.719469719298246E-6,2.534836296755511E-10,Low,1.592116923079304E-5,-1.441404472554171,0.06314079625040865,1,Low,Simple,1,1,11,19,3.3670705991402654E-12,9.052947565509029E-13,1425,285,9.020769739343455E-13,4.4470812223780895E-12
1197,0,Healthy,1,CADC0873,5,264,Medium,54,8.327526037037036E-6,3.640970256658789E-10,Low,1.9081326622273382E-5,-0.9858128546471501,-0.432506483798871,1,Low,Simple,1,1,9,18,3.849851445130579E-12,8.830555603287551E-13,1336,270,1.3791554002495413E-12,6.74253751233109E-12
1198,0,Healthy,0,CADC0873,5,275,Medium,56,2.178075892857143E-6,3.6502337833198844E-10,Low,1.910558500365766E-5,-1.512847529381968,0.025465924192981583,1,Low,Simple,1,1,7,17,4.925640042197356E-12,8.107648995698221E-13,1397,280,1.327357739389049E-12,6.5182746130712224E-12
1199,0,Healthy,1,CADC0873,5,242,Medium,49,-6.41503795918367E-7,1.4206516220508738E-10,Low,1.1919109119606523E-5,-0.9218420598064299,-0.5016231535208191,1,Low,Simple,1,1,11,16,1.947993054303832E-12,6.087309811360215E-13,1232,245,5.870461248144106E-13,2.89928902459362E-12
1200,0,Healthy,1,CADC0873,5,240,Medium,49,3.75364263877551E-6,2.5442679394551896E-10,Low,1.5950761547509856E-5,-1.0746854016806031,-0.41373408265862854,1,Low,Simple,1,1,5,16,3.2388729966109805E-12,4.676647082058885E-13,1200,245,1.0601116414396623E-12,5.19238354990855E-12
1201,0,Healthy,0,CADC0873,5,271,Medium,55,-2.912630701818182E-6,4.4563267095183543E-10,Low,2.1110013523250888E-5,-1.3939949033842987,-0.07995522594281015,1,Low,Simple,1,1,5,18,5.959266138474404E-12,6.652705125306556E-13,1361,275,1.644400999822271E-12,8.10241219912428E-12
1202,1,Anomalous,1,CADC0873,5,310,Medium,53,-7.918431171698112E-6,7.60535126561669E-10,Low,2.757780133661255E-5,-0.8727120589418691,0.3781797931699778,2,High,Moderate,1,1,2,3,2.802615257056387E-10,7.792734385863373E-10,4300,265,2.4533391179408677E-12,1.4349719369088093E-11
1203,0,Healthy,0,CADC0873,5,265,Medium,54,-1.0560448518518518E-6,3.4841665216679495E-10,Low,1.8665922215813367E-5,-1.4713468861408598,-0.03664158232125029,1,Low,Simple,1,1,11,16,5.067343673796193E-12,9.499121227272358E-13,1343,270,1.3147798194973394E-12,6.4521602253110175E-12
1204,1,Anomalous,0,CADC0873,5,331,Long,67,-8.703128059701491E-7,2.7751291909766676E-10,Low,1.6658719011306564E-5,-1.1996198830082938,0.2087001352542775,9,High,Complex,2,2,10,12,1.757667335152816E-10,4.858439282742614E-10,1663,335,8.384076105669691E-13,4.141983867129355E-12
1205,0,Healthy,0,CADC0873,5,205,Medium,42,-9.089827666666666E-6,1.0639995072441345E-10,Low,1.0315035178050216E-5,-1.4943245071041487,-0.029958689511647214,1,Low,Simple,1,1,8,11,2.706320843532791E-12,8.435183744905001E-13,1025,210,5.190241498751875E-13,2.533332160105082E-12
1206,0,Healthy,0,CADC0873,5,240,Medium,49,3.4143774081632653E-6,6.573441222709763E-10,Low,2.563872310141393E-5,-1.3574123986357995,-0.13498092169916925,1,Low,Simple,1,1,4,14,1.1251747594153118E-11,1.7290722156450422E-12,1200,245,2.7389338427957344E-12,1.3415186168795434E-11
1207,1,Anomalous,1,CADC0873,5,230,Medium,47,-4.583778085106382E-6,5.151779737447049E-10,Low,2.269753232720916E-5,-1.292439740235496,-0.02645300674072004,2,High,Moderate,1,1,1,1,4.346159683933233E-11,7.310031778099357E-11,1150,235,2.23990423367263E-12,1.096123348392989E-11
1208,0,Healthy,1,CADC0873,5,220,Medium,45,-3.6802022222222195E-7,4.281187902200687E-10,Low,2.0691031637404375E-5,-1.4882542379858033,-0.1095380277660695,1,Low,Simple,1,1,4,17,8.794479451030992E-12,8.849607215346688E-13,1100,225,1.9459945010003122E-12,9.513750893779305E-12
1209,0,Healthy,1,CADC0873,5,210,Medium,43,-2.7475639069767437E-6,3.59086310769168E-10,Low,1.894957283869924E-5,-1.5006111254888799,0.010109090445550622,1,Low,Simple,1,1,5,15,8.289831088412108E-12,1.0986689373696385E-12,1050,215,1.7099348131865144E-12,8.35084443649228E-12
1210,0,Healthy,1,CADC0873,5,265,Medium,54,1.3518090740740737E-6,8.023523300713864E-10,Low,2.8325824437629108E-5,-1.4147948269397732,0.004996973701073395,1,Low,Simple,1,1,6,17,1.1744465209461231E-11,1.5693580802976326E-12,1325,270,3.0277446417788163E-12,1.4858376482803452E-11
1211,0,Healthy,1,CADC0873,5,250,Medium,51,-9.551849411764707E-7,2.547324510242564E-10,Low,1.5960339940748642E-5,-1.2598928503859175,-0.17472000861032763,1,Low,Simple,1,1,8,16,4.10967762679928E-12,1.2181504696229941E-12,1250,255,1.0189298040970256E-12,4.9947539416520865E-12
1212,0,Healthy,1,CADC0873,5,240,Medium,49,-1.2202560204081633E-6,1.4022389780802957E-10,Low,1.1841617195638E-5,-1.4217907388641926,-0.13760804643351363,1,Low,Simple,1,1,11,16,2.5568930195489583E-12,6.658902175232012E-13,1200,245,5.842662408667899E-13,2.861712200163869E-12
1213,1,Anomalous,1,CADC0873,5,192,Medium,30,-3.0813996666666667E-6,1.3621306314937657E-10,Low,1.1671035221837717E-5,-1.001771248694541,0.12291538060092808,2,High,Moderate,1,1,2,4,4.063657245602996E-11,7.725926456209438E-11,3222,150,7.094430372363363E-13,4.5404354383125525E-12
1214,0,Healthy,1,CADC0873,5,190,Medium,39,1.1971897307692308E-6,2.1279966335931472E-10,Low,1.4587654484505545E-5,-1.5019300459088947,0.01419618649327809,1,Low,Simple,1,1,7,13,6.1122335270238885E-12,1.4318399066901235E-12,950,195,1.1199982282069195E-12,5.4564016245978135E-12
1215,0,Healthy,0,CADC0873,5,216,Medium,44,-7.125040909090907E-7,3.757375583598106E-10,Low,1.9383951051315894E-5,-1.3113772816868619,-0.12793131283166306,1,Low,Simple,1,1,5,15,7.869665548043482E-12,1.4582486610149652E-12,1086,220,1.7395257331472711E-12,8.539489962722968E-12
1216,0,Healthy,1,CADC0873,5,221,Medium,45,-1.583977244444444E-6,5.019947241059473E-10,Low,2.2405238764760963E-5,-1.485036598869908,0.010751051465105918,1,Low,Simple,1,1,4,15,1.0383809051884446E-11,1.3763203368616372E-12,1125,225,2.2714693398459156E-12,1.1155438313465496E-11
1217,0,Healthy,1,CADC0873,5,241,Medium,49,1.3620856122448977E-6,7.244838719055547E-10,Low,2.6916238071200714E-5,-1.502685994525282,0.08547688712826257,1,Low,Simple,1,1,4,14,1.2682680085571873E-11,1.7564558513510353E-12,1229,245,3.006157144836327E-12,1.4785385140929688E-11
1218,0,Healthy,1,CADC0873,5,211,Medium,43,-2.374942465116279E-6,2.8345670834566545E-10,Low,1.683617261570056E-5,-0.7528953058415517,-0.7107135649219842,1,Low,Simple,1,1,6,14,3.77956097850295E-12,1.1550389819965106E-12,1077,215,1.3433967220173717E-12,6.592016473155011E-12
1219,0,Healthy,1,CADC0873,5,215,Medium,44,-2.0670441477272727E-6,2.525543963033148E-10,Low,1.5891960115206517E-5,-0.8816526192440333,-0.6303577361966589,1,Low,Simple,1,1,9,15,3.562264435311971E-12,2.017909609224359E-12,1091,220,1.174671610713092E-12,5.739872643257154E-12
1220,0,Healthy,1,CADC0873,5,225,Medium,46,2.6227284782608697E-6,3.970985861523216E-10,Low,1.9927332640178454E-5,-1.3231264289401166,-0.10547874882044762,1,Low,Simple,1,1,7,16,7.45216082517778E-12,1.2406773928772744E-12,1145,230,1.7648826051214293E-12,8.632577959833078E-12
1221,0,Healthy,0,CADC0873,5,200,Medium,41,-7.527350585365852E-6,1.7507996923872456E-10,Low,1.3231778763217157E-5,-0.8924160996987571,-0.4232949447517669,1,Low,Simple,1,1,5,12,4.14803691391775E-12,8.970301545566071E-13,1016,205,8.753998461936228E-13,4.2702431521640135E-12
1222,0,Healthy,1,CADC0873,5,234,Medium,48,-1.8193134791666666E-6,6.825939145591641E-10,Low,2.612649832180279E-5,-1.5157511290612662,0.06607658998379465,1,Low,Simple,1,1,5,16,1.247457028191181E-11,1.4885341982385899E-12,1186,240,2.9170680109365986E-12,1.422070655331592E-11
1223,0,Healthy,0,CADC0873,5,201,Medium,41,-1.11217456097561E-6,4.946695266847121E-10,Low,2.2241167385834586E-5,-1.479203038285031,-0.06516721516363362,1,Low,Simple,1,1,5,13,1.252382089483095E-11,1.721430436228879E-12,1015,205,2.4610424213169755E-12,1.2065110406944197E-11
1224,0,Healthy,1,CADC0873,5,176,Medium,36,-2.963938177777778E-6,1.6090757014173191E-10,Low,1.2684934770889912E-5,-1.407680885076986,0.01949533797873426,1,Low,Simple,1,1,5,10,5.32335063260027E-12,1.083934707829896E-12,886,180,9.142475576234767E-13,4.46965472615922E-12
1225,0,Healthy,1,CADC0873,5,190,Medium,39,4.483487179487182E-7,2.628491522387906E-10,Low,1.6212623237428008E-5,-1.4387248270899704,0.08519186733700936,1,Low,Simple,1,1,4,12,7.334818245234347E-12,1.352110347392403E-12,950,195,1.383416590730477E-12,6.739721852276682E-12
1226,0,Healthy,1,CADC0873,5,175,Medium,36,-4.130150277777778E-6,2.736899236787694E-10,Low,1.6543576508082206E-5,-1.1347567924891202,-0.284453688230814,1,Low,Simple,1,1,4,11,8.077078405034287E-12,1.3068508803121108E-12,875,180,1.5639424210215396E-12,7.602497879965817E-12
1227,0,Healthy,1,CADC0873,5,215,Medium,44,-1.6904924999999998E-6,8.392014933286644E-10,Low,2.896897466823195E-5,-1.4715424808093898,0.02174121099834113,1,Low,Simple,1,1,4,13,1.7716205579906654E-11,1.504235897070522E-12,1075,220,3.903262759668206E-12,1.90727612120151E-11
1228,0,Healthy,1,CADC0873,5,220,Medium,45,-1.5860454000000005E-6,1.064600167738303E-9,Low,3.262821122492471E-5,-1.481975544107864,-0.002016131064804301,1,Low,Simple,1,1,6,15,2.1622028400155242E-11,2.233309925836084E-12,1100,225,4.839091671537741E-12,2.3657781505295624E-11
1229,0,Healthy,1,CADC0873,5,250,Medium,51,1.1799474313725492E-6,8.307731004703249E-10,Low,2.882313481338081E-5,-1.2386375899463982,-0.1281545708379351,1,Low,Simple,1,1,8,17,1.274980514532284E-11,1.7157195211007752E-12,1250,255,3.3230924018813E-12,1.6289668636673038E-11
1230,0,Healthy,1,CADC0873,5,225,Medium,46,-7.482004739130435E-6,1.0252541876243645E-10,Low,1.0125483631038887E-5,-1.4602973899825724,0.018748892410823195,1,Low,Simple,1,1,8,15,2.237880884809462E-12,7.426537915705623E-13,1125,230,4.556685278330509E-13,2.228813451357314E-12
1231,0,Healthy,1,CADC0873,5,235,Medium,48,2.464412708333333E-7,1.1904725461705057E-10,Low,1.0910877811480182E-5,-1.0621483964786917,-0.3305844812794678,1,Low,Simple,1,1,11,15,1.9634726376662336E-12,7.642805510565411E-13,1175,240,5.065840622002153E-13,2.4801511378552203E-12
1232,0,Healthy,1,CADC0873,5,241,Medium,49,-8.209797142857142E-7,1.7644678121787055E-10,Low,1.3283327189295254E-5,-1.4248098654438237,-0.07182235520828073,1,Low,Simple,1,1,7,16,3.2159847430881597E-12,1.0387606683714448E-12,1211,245,7.321443204061018E-13,3.600954718732052E-12
1233,0,Healthy,0,CADC0873,5,232,Medium,47,3.914519148936171E-7,1.6536329612653017E-10,Low,1.2859366085718617E-5,-1.5073383696187932,-0.026846959534650636,1,Low,Simple,1,1,7,15,3.222384190609557E-12,5.434416066076247E-13,1172,235,7.127728281315956E-13,3.5183680026921313E-12
1234,0,Healthy,1,CADC0873,5,212,Medium,43,-9.066485581395348E-7,1.319769007026213E-10,Low,1.1488119981207599E-5,-1.516452572728595,-0.06316087187025676,1,Low,Simple,1,1,11,14,3.2566751979580585E-12,1.0797216375146127E-12,1084,215,6.225325504840627E-13,3.0692302488981696E-12
1235,1,Anomalous,1,CADC0873,5,210,Medium,19,-1.037596542105263E-5,2.983586829867424E-11,Low,5.462221919573961E-6,-0.13458693166447633,0.7478438990712275,1,High,Simple,1,0,1,1,8.014047450639888E-12,1.2971191393351824E-11,16050,95,1.4207556332702021E-13,1.5703088578249601E-12
1236,0,Healthy,1,CADC0873,5,170,Short,35,-3.085101057142857E-6,5.86260898132516E-11,Low,7.656767582554115E-6,-1.4357010471344067,0.029088833053837002,1,Low,Simple,1,1,6,10,2.33180855707417E-12,9.902889640189993E-13,850,175,3.4485935184265643E-13,1.6750311375214742E-12
1237,0,Healthy,1,CADC0873,5,217,Medium,44,1.387771136363636E-6,3.0391349346214194E-10,Low,1.743311485254835E-5,-1.2766863973336935,-0.12587966833490236,1,Low,Simple,1,1,5,11,6.4347745027838834E-12,9.176552746251701E-13,1097,220,1.4005230113462762E-12,6.907124851412317E-12
1238,0,Healthy,1,CADC0873,5,245,Medium,50,2.6473120099999998E-6,6.043532551031833E-10,Low,2.4583597277517855E-5,-1.4539604437469769,0.05135004019535738,1,Low,Simple,1,1,6,17,1.0013816656007301E-11,1.2714675438381547E-12,1225,250,2.4667479800129934E-12,1.2087065102063666E-11
1239,0,Healthy,1,CADC0873,5,225,Medium,46,-5.134359326086955E-6,1.838514181893087E-10,Low,1.3559182061957451E-5,-1.4789278265583252,-0.003699560549742932,1,Low,Simple,1,1,7,15,3.686431786162958E-12,5.756622705587312E-13,1125,230,8.171174141747054E-13,3.996769960637146E-12
1240,0,Healthy,0,CADC0873,5,265,Medium,54,1.8636311481481477E-6,2.7933035373242707E-10,Low,1.6713179043270824E-5,-1.5042142663778466,0.08466333305192664,1,Low,Simple,1,1,6,17,4.0322107251913964E-12,3.8753560733144355E-13,1325,270,1.0540768065374607E-12,5.172784328378279E-12
1241,0,Healthy,1,CADC0873,5,240,Medium,49,-2.343987326530612E-6,7.716594820678988E-10,Low,2.777875954876133E-5,-1.483837210594646,0.04599793900435313,1,Low,Simple,1,1,2,15,1.3194090165030763E-11,1.1116588308365097E-12,1200,245,3.2152478419495782E-12,1.574815269526324E-11
1242,0,Healthy,0,CADC0873,5,215,Medium,44,-2.181645852272727E-6,6.157670863573773E-10,Low,2.4814654669315415E-5,-1.4850743066247203,-0.007273837653439802,1,Low,Simple,1,1,5,14,1.3308242299432634E-11,1.5375486756003826E-12,1075,220,2.864032959801755E-12,1.3994706508122212E-11
